Step,Throttle Action,Steering Action,Top Throttle Factor 1,Top Throttle Factor 2,Top Throttle Factor 3,Top Steering Factor 1,Top Steering Factor 2,Top Steering Factor 3
50,1.372676134109497,-0.06146949902176857,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
51,1.3718321323394775,-0.06091655045747757,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
52,1.3710300922393799,-0.060308948159217834,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
53,1.3702908754348755,-0.059670187532901764,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
54,1.3695659637451172,-0.05903194472193718,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
55,1.3688501119613647,-0.058377236127853394,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
56,1.3681402206420898,-0.057696666568517685,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
57,1.3674352169036865,-0.05698978528380394,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
58,1.3667339086532593,-0.056257735937833786,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
59,1.3660356998443604,-0.05550393462181091,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
60,1.365340232849121,-0.054730113595724106,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
61,1.3646469116210938,-0.05394003540277481,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
62,1.3639559745788574,-0.053135260939598083,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
63,1.3632662296295166,-0.05231668800115585,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
64,1.3625781536102295,-0.05148668959736824,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
65,1.3618909120559692,-0.05064650624990463,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
66,1.3612043857574463,-0.04979711025953293,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
67,1.3605186939239502,-0.04893999919295311,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
68,1.3598332405090332,-0.04807499423623085,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
69,1.3591482639312744,-0.04720325022935867,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
70,1.358463168144226,-0.046325910836458206,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
71,1.357778549194336,-0.0454426109790802,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
72,1.357093095779419,-0.04455336928367615,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
73,1.356407880783081,-0.043660182505846024,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
74,1.355722427368164,-0.04276195913553238,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
75,1.3550364971160889,-0.041859645396471024,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
76,1.3543503284454346,-0.04095315933227539,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
77,1.3536632061004639,-0.040042318403720856,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
78,1.3529762029647827,-0.03912826254963875,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
79,1.3522882461547852,-0.03820955753326416,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
